0,why are american cars so bad,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.473, 'neu': 0.527, 'pos': 0.0, 'compound': -0.6696}
2,why american are taller,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why american are rich,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
4,why american are smart,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
5,why american are individualistic,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why american are not allowed to cuba,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why american are in debt,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.385, 'neu': 0.615, 'pos': 0.0, 'compound': -0.3612}
8,why american are materialistic,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why american are called gringo,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why american are tall,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why american are in afghanistan,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why american are loud,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,converting to islam in america,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why american are so,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american eggs white,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american flags backwards,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american egg shells white,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american flags backwards on uniforms,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american houses made of wood,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are american houses so big,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are american flags at half mast today,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are american eggs so white,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why are american flag patches backwards,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are american police so brutal,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.512, 'neu': 0.488, 'pos': 0.0, 'compound': -0.7384}
10,why are american dolls so expensive,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are american cars so big,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why are american police so aggressive,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2769}
13,why are american cops so aggressive,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2769}
14,why are american universities so expensive,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why are american girl dolls expensive,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why are american schools failing,2016-04-27 21:43:43,are why american ,com.br,en,google, {'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5106}
0,why are american eggs white,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american flags backwards,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american egg shells white,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american flags backwards on uniforms,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american houses made of wood,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are american houses so big,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are american flags at half mast today,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are american eggs so white,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why are american flag patches backwards,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are american police so brutal,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.512, 'neu': 0.488, 'pos': 0.0, 'compound': -0.7384}
10,why are american dolls so expensive,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are american cars so big,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why are american police so aggressive,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2769}
13,why are american cops so aggressive,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2769}
14,why are american universities so expensive,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why are american girl dolls expensive,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why are american schools failing,2016-04-27 21:43:43,are american why ,com.br,en,google, {'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5106}
0,why american are white,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why american are tall,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why american are rich,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
3,why american are not allowed to cuba,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why american are smart,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
5,why american are rude,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
6,why american are in afghanistan,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why american are so loud,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why american are loud,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,converting to islam in america,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why american are so,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why american are so tall,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why american cars are junk,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why american schools are failing,2016-04-27 21:43:43,american why are ,com.br,en,google, {'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5106}
0,why american are white,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why american are tall,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why american are rich,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
3,why american are rude,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
4,why american are in afghanistan,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why american are loud,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,converting to islam in america,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why american are so,2016-04-27 21:43:44,american are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
