0,women's brazilian wax pictures,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,women's brazilian soccer jersey,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,women's brazilian fitness wear,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}
15,women's brazilian swimsuits,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,women's brazilian workout clothes,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,women's brazilian cut bikinis,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}
18,women's brazilian cut underwear,2016-04-27 21:45:08,women why are brazilian ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}
0,women's brazilian wax,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,women's brazilian wax pictures,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,women's brazilian soccer team,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,women's brazilian jiu jitsu gi,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,women's brazilian bikini swimwear,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,women's brazilian volleyball team,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,women's brazilian jiu jitsu,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,women's brazilian bikinis,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,women's brazilian underwear,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,women's brazilian swimwear,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,women's brazilian soccer team roster,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,women's brazilian beach volleyball team,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,women's brazilian laser hair removal,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,women's brazilian knickers,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,women's brazilian soccer jersey,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,women's brazilian fitness wear,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}
16,women's brazilian swimsuits,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,women's brazilian workout clothes,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,women's brazilian cut bikinis,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}
19,women's brazilian cut underwear,2016-04-27 21:45:08,women are why brazilian ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}
