0,why are american tourists so rude,2016-04-27 21:46:41,why are american tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
12,are american tourists safe in turkey,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
13,are american tourists rude,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
14,are american tourists safe in egypt,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
15,are american tourists welcome in england,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
16,are american tourists safe in mexico city,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
17,are american tourists welcome in japan,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
18,are american tourists safe in spain,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
19,are american tourists safe in istanbul,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,are american tourists allowed in north korea,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,are american tourists allowed in cuba,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,are american tourists allowed in iran,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,are american tourists safe in mexico,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
8,are american tourists safe in israel,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
9,are american tourists welcome in cuba,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
10,are american tourists welcome in russian,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
11,are american tourists safe in russia,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
12,are american tourists safe in turkey,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
13,are american tourists rude,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
14,are american tourists safe in egypt,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
15,are american tourists welcome in england,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
16,are american tourists safe in mexico city,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
17,are american tourists welcome in japan,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
18,are american tourists safe in spain,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
19,are american tourists safe in istanbul,2016-04-27 21:46:42,are why tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
0,are american tourists allowed in north korea,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,are american tourists allowed in cuba,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,are american tourists allowed in iran,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,are american tourists safe in mexico,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
4,are american tourists safe in israel,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
5,are american tourists welcome in cuba,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
6,are american tourists welcome in russian,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
7,are american tourists safe in russia,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
8,are american tourists safe in turkey,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
9,are american tourists rude,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
10,are american tourists safe in egypt,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
11,are american tourists welcome in england,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
12,are american tourists safe in mexico city,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
13,are american tourists welcome in china,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
14,are american tourists welcome in japan,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
15,are american tourists safe in spain,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
16,are american tourists safe in istanbul,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
17,are american tourists welcome in vietnam,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
18,why are american tourists not allowed in cuba,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why are american tourists so rude,2016-04-27 21:46:42,are american why tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:42,are american tourists why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:42,are american tourists why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:42,are american tourists why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:42,are tourists american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:42,are tourists american why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:42,are tourists american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american tourists are the worst,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}
1,american tourists are loud,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american tourists are rude,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
3,american tourists are,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american tourists are obnoxious,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,american tourists are nice,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}
6,american tourists in cuba,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,american tourists killed in mexico,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.529, 'neu': 0.471, 'pos': 0.0, 'compound': -0.6705}
8,american tourists in europe,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,american tourister bag,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,american tourists in london,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,american tourists in iran,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,american tourists kidnapped in mexico,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,american tourists in ireland,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,american tourists in russia,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,american tourists in greece,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,american tourists in britain,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,american tourists colosseum,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,american tourists in england,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,american tourists in japan,2016-04-27 21:46:42,american why are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american tourists are the worst,2016-04-27 21:46:42,american why tourists are ,com.br,en,google, {'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}
1,american tourists are loud,2016-04-27 21:46:42,american why tourists are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american tourists are rude,2016-04-27 21:46:42,american why tourists are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
3,american tourists are,2016-04-27 21:46:42,american why tourists are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american tourists are obnoxious,2016-04-27 21:46:42,american why tourists are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,american tourists are nice,2016-04-27 21:46:42,american why tourists are ,com.br,en,google, {'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}
0,are american tourists allowed in north korea,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,are american tourists allowed in cuba,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,are american tourists allowed in iran,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,are american tourists safe in mexico,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
4,are american tourists safe in israel,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
5,are american tourists welcome in cuba,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
6,are american tourists welcome in russian,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
7,are american tourists safe in russia,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
8,are american tourists safe in turkey,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
9,are american tourists rude,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
10,are american tourists safe in egypt,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
11,are american tourists welcome in england,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
12,are american tourists safe in mexico city,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
13,are american tourists welcome in china,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
14,are american tourists welcome in japan,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
15,are american tourists safe in spain,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
16,are american tourists safe in istanbul,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
17,are american tourists welcome in vietnam,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
18,american tourists in cuba,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,american tourists killed in mexico,2016-04-27 21:46:42,american are why tourists ,com.br,en,google, {'neg': 0.529, 'neu': 0.471, 'pos': 0.0, 'compound': -0.6705}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:42,american are tourists why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:42,american are tourists why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:42,american are tourists why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:42,american are tourists why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american tourists are the worst,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}
1,american tourists are loud,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american tourists are rude,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
3,american tourists are,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american tourists are obnoxious,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,american tourists are nice,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}
6,why are american tourists not allowed in cuba,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are american tourists so loud,2016-04-27 21:46:42,american tourists why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:43,american tourists are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:43,american tourists are why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:43,american tourists are why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:43,tourists why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:43,tourists why are american ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:43,tourists why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:43,tourists why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:43,tourists why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:43,tourists why american are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:43,tourists why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:43,tourists why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:43,tourists are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:43,tourists are why american ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:43,tourists are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:43,tourists are why american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:43,tourists are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:43,tourists are american why ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:43,tourists are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:43,tourists are american why ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american tourists are the worst,2016-04-27 21:46:43,tourists american why are ,com.br,en,google, {'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}
1,american tourists are loud,2016-04-27 21:46:43,tourists american why are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
